Timestamp,PlateNumber,DetectionScore,OcrConfidence,CombinedScore
2025-09-07T07:40:31.827128+00:00,GJ14BG4657,0.85,0.9843,0.9172
2025-09-07T07:43:07.380360+00:00,GJ38BC2164,0.85,0.9902,0.9201
2025-09-07T07:43:36.812451+00:00,GJ14AP9421,0.85,0.9859,0.918
2025-09-07T07:47:27.319533+00:00,GJ04CA6261,0.85,0.9704,0.9102
2025-09-07T07:47:35.700886+00:00,MP09BE062,0.85,0.821,0.8355
2025-09-07T07:53:05.649515+00:00,GJ03LG4361,0.85,0.9704,0.9102
2025-09-07T07:53:41.681209+00:00,GJ01HZ4822,0.85,0.9578,0.9039
2025-09-07T07:54:30.700416+00:00,GJ04CA6261,0.85,0.9638,0.9069
2025-09-07T07:54:34.594156+00:00,GJ04EP1899,0.85,0.9746,0.9123
2025-09-07T07:54:49.850817+00:00,GJ23BD4913,0.85,0.975,0.9125
2025-09-07T07:55:06.542862+00:00,GJ13AB6184,0.85,0.9734,0.9117
2025-09-07T07:55:28.705968+00:00,GJ01RU8533,0.85,0.9573,0.9036
2025-09-07T07:55:33.597767+00:00,GJ01WD1455,0.85,0.9613,0.9057
2025-09-07T07:55:37.395906+00:00,GJ01RJ0621,0.85,0.9709,0.9105
2025-09-07T07:55:46.777151+00:00,GJ23CA2413,0.85,0.9846,0.9173
2025-09-07T07:56:20.689857+00:00,GJ38BE4441,0.85,0.9808,0.9154
2025-09-07T08:01:22.592448+00:00,GJ23BD4913,0.85,0.8645,0.8572
2025-09-07T08:02:13.971986+00:00,GJ06LK0051,0.85,0.9326,0.8913
2025-09-07T08:02:16.584666+00:00,GJ13CC1423,0.85,0.9836,0.9168
2025-09-07T08:02:46.891012+00:00,GJ38BC2164,0.85,0.9752,0.9126
2025-09-07T08:02:48.407988+00:00,GJ10DE9657,0.85,0.9822,0.9161
2025-09-07T08:05:29.066165+00:00,GJ27AH5575,0.85,0.992,0.921
2025-09-07T08:06:41.723007+00:00,GJ06PK0284,0.85,0.9685,0.9093
2025-09-07T08:06:46.047362+00:00,GJ01RL9922,0.85,0.9684,0.9092
2025-09-07T08:09:10.017852+00:00,GJ05JS1537,0.85,0.9848,0.9174
2025-09-07T08:09:13.565359+00:00,GJ04CR3562,0.85,0.973,0.9115
2025-09-07T08:14:35.594670+00:00,GJ27BE8166,0.85,0.982,0.916
2025-09-07T08:14:37.903386+00:00,GJ36AL4605,0.85,0.976,0.913
2025-09-07T08:15:36.770964+00:00,GJ13CC9004,0.85,0.9127,0.8814
2025-09-07T08:17:22.640931+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:22.692968+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:22.733726+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:22.792398+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:22.833412+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:22.886527+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:22.925803+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:23.038896+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:23.089461+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:23.132937+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:23.177886+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:23.220604+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:23.262879+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:23.311024+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:23.357641+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:23.409184+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:23.450591+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:23.512017+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:23.558832+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:23.607442+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:23.657381+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:23.706563+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:23.750934+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:23.801408+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:23.841334+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:23.883487+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:23.923568+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:23.990213+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:24.027470+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:24.084050+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:24.129411+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:24.192758+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:24.252649+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:24.301892+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:24.349243+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:24.404060+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:24.447302+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:24.468119+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:24.500448+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:24.534712+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:24.608994+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:24.644625+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:24.697034+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:24.764470+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:24.808593+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:24.863905+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:24.897275+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:24.969960+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:25.005536+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:25.063214+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:25.104262+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:25.166022+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:25.205519+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:25.255544+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:25.292804+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:25.364732+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:25.402322+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:25.444133+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:25.496977+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:25.537198+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:25.609596+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:25.648422+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:25.701190+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:25.766280+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:25.809471+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:25.861051+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:25.899052+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:25.964305+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:26.003501+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:26.053795+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:26.093235+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:26.169561+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:26.208464+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:26.254466+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:26.290085+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:26.364631+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:26.402444+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:26.452526+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:26.491289+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:26.530201+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:26.607318+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:26.649746+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:26.699219+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:26.770761+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:26.806261+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:26.865825+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:26.912869+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:26.984133+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:27.029529+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:27.093929+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:27.142513+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:27.195975+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:27.238386+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:27.278068+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:27.322174+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:27.382067+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:27.435986+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:27.511943+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:27.561071+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:27.601573+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:27.646365+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:27.691157+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:27.732304+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:27.792584+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:27.837588+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:27.887596+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:27.932578+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:27.987226+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:28.031098+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:28.087105+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:28.126465+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:28.197959+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:28.238506+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:28.284510+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:28.332523+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:28.399306+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:28.438323+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:28.487725+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:28.529046+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:28.570234+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:28.623349+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:28.664853+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:28.713654+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:28.780651+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:28.831857+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:28.898914+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:28.917863+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:28.969113+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:29.010152+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:29.062261+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:29.102257+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:29.163981+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:29.209747+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:29.261852+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:29.293850+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:29.369953+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:29.406953+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:29.502667+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:29.538960+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:29.573851+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:29.623118+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:29.656847+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:29.701984+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:29.779395+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:29.812846+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:29.860269+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:29.899787+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:29.967653+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:30.007337+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:30.065240+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:30.099614+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:30.165407+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:30.207714+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:30.261974+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:30.303558+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:30.363407+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:30.404046+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:30.458718+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:30.495730+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:30.527594+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:30.608116+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:30.643897+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:30.686563+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:30.767536+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:30.807718+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:30.853183+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:30.891463+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:30.967458+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:31.012794+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:31.058446+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:31.092994+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:31.163289+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:31.205920+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:31.255663+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:31.289106+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:31.367042+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:31.407151+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:31.510563+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:31.543874+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:31.580954+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:31.624565+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:31.659507+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:31.695093+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:31.765674+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:31.809645+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:31.855162+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:31.890610+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:31.962999+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:32.009722+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:32.061333+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:32.093112+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:32.163150+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:32.208739+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:32.254494+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:32.292608+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:32.368224+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:32.412720+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:32.463567+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:32.496572+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:32.540197+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:32.605641+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:32.644651+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:32.693143+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:32.769593+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:32.806705+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:32.853480+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:32.892721+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:32.969786+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:33.011346+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:33.065470+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:33.101406+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:33.168315+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:33.209508+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:33.259249+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:33.291527+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:33.367129+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:33.407460+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:33.511354+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:33.550164+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:33.583982+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:33.622949+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:33.657626+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:33.693540+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:33.762911+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:33.803736+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:33.863054+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:33.897720+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:33.963562+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:34.003519+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:34.053827+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:34.089889+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:34.167238+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:34.204785+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:34.253488+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:34.288470+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:34.362929+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:34.408744+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:34.443759+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:34.483744+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:34.526779+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:34.610308+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:34.647873+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:34.685848+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:34.764346+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:34.806213+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:34.861157+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:34.899019+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:34.966569+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:35.007869+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:35.046625+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:35.090052+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:35.163069+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:35.207760+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:35.249730+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:35.285311+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:35.366300+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:35.407579+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:35.452091+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:35.515689+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:35.573895+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:35.626659+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:35.662659+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:35.697844+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:35.768823+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:35.810861+00:00,GJ36AJ8335,0.85,0.991,0.9205
